amfi_code,beta,alpha,r_squared,observations,alpha_rank
119598,-0.023196062044059693,0.0012038478328167985,0.0001414257550272171,1149,1
149324,0.011455159960520708,0.001192772943292729,3.5329906267955625e-05,1149,2
120505,0.000549004250631712,0.0011612533072123436,1.3455341675668847e-07,1149,3
148569,0.018133884083859245,0.0011218399941454692,0.00017488886568129566,1149,4
120843,-0.02282956979242654,0.0010845422634248435,0.00034305434271514465,1149,5
100033,0.0051035258305283104,0.0010791807341779893,1.2066520635068168e-05,1149,6
148567,0.023683558075848623,0.001070783787377701,0.0004625436906623847,1149,7
149323,-0.002523004664699247,0.0010554991088112318,3.357978192008859e-06,1149,8
119094,-0.06626542862803757,0.0010347884555572313,0.001936878936960232,1149,9
119551,-0.03175144113890972,0.000920674887326789,0.0008869788879322809,1149,10
118632,-0.008353832126962021,0.0008662459485955811,5.7917562701278335e-05,1149,11
101206,0.02108631625012803,0.0008491978085734608,0.0003480482030714251,1149,12
120504,0.016232169761417007,0.0008410645640287988,0.00021216129075887457,1149,13
148568,-0.026387719943843004,0.0008282940510691404,0.0004859264752797316,1149,14
119552,-0.026159307513513405,0.0007884364828120222,0.0005850821704543426,1149,15
125497,0.04882040425957739,0.0007035617034734827,0.0018401792783071585,1149,16
120503,-0.0402689523698206,0.0007025119986446061,0.001397444608331861,1149,17
118634,0.1034966369133759,0.0006944730823655265,0.0027930065610663243,1149,18
102885,-0.019486785689474526,0.0006765379683893927,0.00038285030730923834,1149,19
120506,0.04189646272811977,0.0006449941777770254,0.0012571178108220743,1149,20
102887,0.016682689437770827,0.0006433038410330657,0.00018619166432850165,1149,21
118633,-0.03663900671860934,0.0006207871408003836,0.0011382947171084282,1149,22
118635,-0.001433521389780133,0.0006006489939777476,2.0253408972328425e-06,1149,23
149322,-0.004050271130006534,0.0005227456438928346,1.322760788085046e-05,1149,24
120841,0.036356399022199795,0.000517576367091486,0.0012113711061211869,1149,25
125498,0.009054412621739154,0.00047575797504833216,4.043746553634244e-05,1149,26
101207,-0.06528924788351524,0.00043242428181367216,0.0010641052735572622,1149,27
119093,0.02588321244009315,0.00032669846409611483,0.0005692038090244872,1149,28
120842,0.01805687420811816,0.00030969995540297936,0.0001691554883831436,1149,29
119092,0.009730745001153637,0.00027379086593958533,8.082637693810774e-05,1149,30
120507,-0.0004440926329707234,0.0002677067623452198,0.00013430661440679868,1149,31
120844,-0.00040074423947840013,0.00025617767838793644,0.00010125435692271723,1149,32
101208,0.00026670968338238433,0.00024151372205504423,4.6076236771052326e-05,1149,33
119120,-0.006413850728276477,0.00022305139748564958,0.00043426033217200524,1149,34
118636,0.0012566742731558458,0.00020137988095143272,1.651665231033275e-05,1149,35
119599,0.06200180438267168,0.00019374688867277717,0.0010259205326765965,1149,36
119095,-0.066951174639292,0.00019053949856253792,0.0011851593464486715,1149,37
100025,0.0011582183155281463,0.00016991238220262253,1.4612842041845034e-05,1149,38
100016,-0.0582684314388089,0.00014871352235886037,0.002665032698133324,1149,39
102886,-0.04212502902189432,0.00011495792804118827,0.0008964294600687582,1149,40
